rank_by_auc,run_name,model_type,relation_mode,max_users,use_graph_encoder,use_temporal_encoder,use_prerequisite_edges,auc,accuracy,f1,bce_loss,run_dir,config_path
60,ednet1k_sakt_baseline_seed09,sakt_baseline,transition,1000,,,,0.6932320185237568,0.7101083305977122,0.8035928143712575,0.5801608592553773,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed09_cuda.json
61,ednet1k_graph_only_seed09,graph_only,transition,1000,,,,0.6530945848216657,0.6903866063988283,0.8119911063405658,0.6004939762369971,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed09,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed09_cuda.json
62,ednet1k_graph_only_seed06,graph_only,transition,1000,,,,0.6529452719521562,0.6904371101739855,0.8120333031785216,0.6001228220230173,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed06_cuda.json
63,ednet1k_graph_only_seed05,graph_only,transition,1000,,,,0.6526605322456605,0.6886442261559051,0.8112023029337906,0.5999435884054791,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed05_cuda.json
64,ednet1k_graph_only_seed04,graph_only,transition,1000,,,,0.6522782422833083,0.6903866063988283,0.8120026372682806,0.6008587871240699,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed04_cuda.json
65,ednet1k_graph_only_seed01,graph_only,transition,1000,,,,0.6518303387700601,0.6903866063988283,0.8120084022017449,0.600685735860888,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed01_cuda.json
66,ednet1k_graph_only_seed07,graph_only,transition,1000,,,,0.651523538755367,0.6886442261559051,0.8112023029337906,0.6011632573101289,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed07_cuda.json
67,ednet1k_graph_only_seed08,graph_only,transition,1000,,,,0.6509344703268236,0.6903866063988283,0.8119911063405658,0.6010005219357554,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed08_cuda.json
68,ednet1k_graph_only_seed03,graph_only,transition,1000,,,,0.6489286142113891,0.6903108507360926,0.8119422209954917,0.6016875332472147,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed03_cuda.json
69,ednet1k_graph_only_seed10,graph_only,transition,1000,,,,0.6445033976910581,0.6787959900002525,0.8086700159441653,0.608600264400852,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed10_cuda.json
70,ednet1k_graph_only_seed02,graph_only,transition,1000,,,,0.6444724758246162,0.6787959900002525,0.8086700159441653,0.6082206044988211,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_graph_only_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_graph_only_seed02_cuda.json
